Seed,TotalPay,BonusPay,Bonus,FreeSpins,Progressive,Category,Freq,ProgressiveBonus
10143,30,0,0,0,0,0,100,0
10144,40,0,0,0,0,0,100,0
10148,520,0,0,0,0,0,100,0
10151,80,0,0,0,0,0,100,0
10152,60,0,0,0,0,0,100,0
10158,180,0,0,0,0,0,100,0
10159,110,0,0,0,0,0,100,0
10162,40,0,0,0,0,0,100,0
10166,140,0,0,0,0,0,100,0
10173,150,0,0,0,0,0,100,0
10175,80,0,0,0,0,0,100,0
10176,100,0,0,0,0,0,100,0
10177,60,0,0,0,0,0,100,0
10182,60,0,0,0,0,0,100,0
10183,80,0,0,0,0,0,100,0
10184,180,0,0,0,0,0,100,0
10185,40,0,0,0,0,0,100,0
10186,60,0,0,0,0,0,100,0
10188,180,0,0,0,0,0,100,0
10190,40,0,0,0,0,0,100,0
10192,90,0,0,0,0,0,100,0
10193,110,0,0,0,0,0,100,0
10198,20,0,0,0,0,0,100,0
10201,70,0,0,0,0,0,100,0
10202,70,0,0,0,0,0,100,0
10203,40,0,0,0,0,0,100,0
10204,60,0,0,0,0,0,100,0
10207,30,0,0,0,0,0,100,0
10210,60,0,0,0,0,0,100,0
10212,20,0,0,0,0,0,100,0
10214,100,0,0,0,0,0,100,0
10217,950,0,0,0,0,0,100,0
10218,30,0,0,0,0,0,100,0
10219,90,0,0,0,0,0,100,0
10220,170,0,0,0,0,0,100,0
10221,460,0,0,0,0,0,100,0
10223,60,0,0,0,0,0,100,0
10227,120,0,0,0,0,0,100,0
10228,50,0,0,0,0,0,100,0
10232,100,0,0,0,0,0,100,0
10234,90,0,0,0,0,0,100,0
10237,90,0,0,0,0,0,100,0
10239,20,0,0,0,0,0,100,0
10240,60,0,0,0,0,0,100,0
10246,90,0,0,0,0,0,100,0
10247,60,0,0,0,0,0,100,0
10252,30,0,0,0,0,0,100,0
10253,40,0,0,0,0,0,100,0
10254,60,0,0,0,0,0,100,0
10257,60,0,0,0,0,0,100,0
10259,90,0,0,0,0,0,100,0
10260,30,0,0,0,0,0,100,0
10261,70,0,0,0,0,0,100,0
10262,20,0,0,0,0,0,100,0
10263,120,0,0,0,0,0,100,0
10265,20,0,0,0,0,0,100,0
10267,90,0,0,0,0,0,100,0
10268,60,0,0,0,0,0,100,0
10270,90,0,0,0,0,0,100,0
10271,320,0,0,0,0,0,100,0
10272,60,0,0,0,0,0,100,0
10273,80,0,0,0,0,0,100,0
10276,50,0,0,0,0,0,100,0
10277,60,0,0,0,0,0,100,0
10278,110,0,0,0,0,0,100,0
10279,180,0,0,0,0,0,100,0
10282,20,0,0,0,0,0,100,0
10283,230,0,0,0,0,0,100,0
10285,20,0,0,0,0,0,100,0
10289,50,0,0,0,0,0,100,0
10292,20,0,0,0,0,0,100,0
10293,30,0,0,0,0,0,100,0
10296,140,0,0,0,0,0,100,0
10297,30,0,0,0,0,0,100,0
10299,110,0,0,0,0,0,100,0
10301,540,0,0,0,0,0,100,0
10308,60,0,0,0,0,0,100,0
10309,240,0,0,0,0,0,100,0
10312,60,0,0,0,0,0,100,0
10314,20,0,0,0,0,0,100,0
10315,100,0,0,0,0,0,100,0
10318,80,0,0,0,0,0,100,0
10321,50,0,0,0,0,0,100,0
10324,60,0,0,0,0,0,100,0
10325,220,0,0,0,0,0,100,0
10328,390,0,0,0,0,0,100,0
10329,170,0,0,0,0,0,100,0
10333,60,0,0,0,0,0,100,0
10334,60,0,0,0,0,0,100,0
10335,120,0,0,0,0,0,100,0
10339,90,0,0,0,0,0,100,0
10340,130,0,0,0,0,0,100,0
10342,100,0,0,0,0,0,100,0
10343,710,0,0,0,0,0,100,0
10346,20,0,0,0,0,0,100,0
10347,90,0,0,0,0,0,100,0
10349,20,0,0,0,0,0,100,0
10351,20,0,0,0,0,0,100,0
10352,120,0,0,0,0,0,100,0
10355,430,0,0,0,0,0,100,0
10356,40,0,0,0,0,0,100,0
10359,60,0,0,0,0,0,100,0
10360,80,0,0,0,0,0,100,0
10365,20,0,0,0,0,0,100,0
10366,60,0,0,0,0,0,100,0
10368,90,0,0,0,0,0,100,0
10369,60,0,0,0,0,0,100,0
10375,70,0,0,0,0,0,100,0
10377,360,0,0,0,0,0,100,0
10378,60,0,0,0,0,0,100,0
10380,150,0,0,0,0,0,100,0
10382,60,0,0,0,0,0,100,0
10384,60,0,0,0,0,0,100,0
10388,90,0,0,0,0,0,100,0
10390,20,0,0,0,0,0,100,0
10391,70,0,0,0,0,0,100,0
10393,90,0,0,0,0,0,100,0
10395,20,0,0,0,0,0,100,0
10399,50,0,0,0,0,0,100,0
10400,50,0,0,0,0,0,100,0
10408,40,0,0,0,0,0,100,0
10410,150,0,0,0,0,0,100,0
10411,2220,0,0,0,0,0,100,0
10413,200,0,0,0,0,0,100,0
10414,110,0,0,0,0,0,100,0
10415,30,0,0,0,0,0,100,0
10417,20,0,0,0,0,0,100,0
10418,2460,0,0,0,0,0,100,0
10420,90,0,0,0,0,0,100,0
10421,30,0,0,0,0,0,100,0
10422,20,0,0,0,0,0,100,0
10423,50,0,0,0,0,0,100,0
10424,110,0,0,0,0,0,100,0
10426,90,0,0,0,0,0,100,0
10427,400,0,0,0,0,0,100,0
10431,30,0,0,0,0,0,100,0
10434,120,0,0,0,0,0,100,0
10436,170,0,0,0,0,0,100,0
10437,80,0,0,0,0,0,100,0
10438,110,0,0,0,0,0,100,0
10444,240,0,0,0,0,0,100,0
10445,200,0,0,0,0,0,100,0
10449,240,0,0,0,0,0,100,0
10457,140,0,0,0,0,0,100,0
10458,30,0,0,0,0,0,100,0
10459,20,0,0,0,0,0,100,0
10461,260,0,0,0,0,0,100,0
10462,60,0,0,0,0,0,100,0
10464,60,0,0,0,0,0,100,0
10465,90,0,0,0,0,0,100,0
10466,150,0,0,0,0,0,100,0
10467,20,0,0,0,0,0,100,0
10469,20,0,0,0,0,0,100,0
10471,60,0,0,0,0,0,100,0
10472,30,0,0,0,0,0,100,0
10473,90,0,0,0,0,0,100,0
10474,60,0,0,0,0,0,100,0
10475,140,0,0,0,0,0,100,0
10476,100,0,0,0,0,0,100,0
10479,350,0,0,0,0,0,100,0
10481,60,0,0,0,0,0,100,0
10482,270,0,0,0,0,0,100,0
10485,60,0,0,0,0,0,100,0
10486,20,0,0,0,0,0,100,0
10488,90,0,0,0,0,0,100,0
10490,20,0,0,0,0,0,100,0
10493,80,0,0,0,0,0,100,0
10500,90,0,0,0,0,0,100,0
10501,360,0,0,0,0,0,100,0
10504,220,0,0,0,0,0,100,0
10507,30,0,0,0,0,0,100,0
10510,200,0,0,0,0,0,100,0
10511,80,0,0,0,0,0,100,0
10512,30,0,0,0,0,0,100,0
10519,60,0,0,0,0,0,100,0
10521,130,0,0,0,0,0,100,0
10523,20,0,0,0,0,0,100,0
10524,30,0,0,0,0,0,100,0
10527,130,0,0,0,0,0,100,0
10528,60,0,0,0,0,0,100,0
10532,80,0,0,0,0,0,100,0
10534,80,0,0,0,0,0,100,0
10535,90,0,0,0,0,0,100,0
10536,140,0,0,0,0,0,100,0
10537,30,0,0,0,0,0,100,0
10539,360,0,0,0,0,0,100,0
10544,100,0,0,0,0,0,100,0
10545,300,0,0,0,0,0,100,0
10547,30,0,0,0,0,0,100,0
10549,90,0,0,0,0,0,100,0
10550,50,0,0,0,0,0,100,0
10551,40,0,0,0,0,0,100,0
10552,440,0,0,0,0,0,100,0
10553,80,0,0,0,0,0,100,0
10554,380,0,0,0,0,0,100,0
10555,30,0,0,0,0,0,100,0
10556,30,0,0,0,0,0,100,0
10558,600,0,0,0,0,0,100,0
10561,60,0,0,0,0,0,100,0
10562,160,0,0,0,0,0,100,0
10563,40,0,0,0,0,0,100,0
10564,20,0,0,0,0,0,100,0
10565,20,0,0,0,0,0,100,0
10566,2060,0,0,0,0,0,100,0
10567,680,0,0,0,0,0,100,0
10571,60,0,0,0,0,0,100,0
10574,20,0,0,0,0,0,100,0
10578,150,0,0,0,0,0,100,0
10581,40,0,0,0,0,0,100,0
10583,90,0,0,0,0,0,100,0
10588,270,0,0,0,0,0,100,0
10589,40,0,0,0,0,0,100,0
10593,30,0,0,0,0,0,100,0
10598,30,0,0,0,0,0,100,0
10599,20,0,0,0,0,0,100,0
10604,40,0,0,0,0,0,100,0
10607,60,0,0,0,0,0,100,0
10608,60,0,0,0,0,0,100,0
10610,60,0,0,0,0,0,100,0
10612,60,0,0,0,0,0,100,0
10613,180,0,0,0,0,0,100,0
10626,20,0,0,0,0,0,100,0
10627,40,0,0,0,0,0,100,0
10631,20,0,0,0,0,0,100,0
10634,20,0,0,0,0,0,100,0
10636,420,0,0,0,0,0,100,0
10638,20,0,0,0,0,0,100,0
10639,120,0,0,0,0,0,100,0
10640,240,0,0,0,0,0,100,0
10643,60,0,0,0,0,0,100,0
10645,20,0,0,0,0,0,100,0
10646,90,0,0,0,0,0,100,0
10647,60,0,0,0,0,0,100,0
10649,60,0,0,0,0,0,100,0
10650,30,0,0,0,0,0,100,0
10652,140,0,0,0,0,0,100,0
10656,20,0,0,0,0,0,100,0
10657,20,0,0,0,0,0,100,0
10659,2040,0,0,0,0,0,100,0
10662,60,0,0,0,0,0,100,0
10663,60,0,0,0,0,0,100,0
10664,120,0,0,0,0,0,100,0
10665,50,0,0,0,0,0,100,0
10667,20,0,0,0,0,0,100,0
10670,350,0,0,0,0,0,100,0
10671,200,0,0,0,0,0,100,0
10673,80,0,0,0,0,0,100,0
10674,80,0,0,0,0,0,100,0
10677,60,0,0,0,0,0,100,0
10678,90,0,0,0,0,0,100,0
10679,50,0,0,0,0,0,100,0
10680,60,0,0,0,0,0,100,0
10681,90,0,0,0,0,0,100,0
10685,360,0,0,0,0,0,100,0
10687,360,0,0,0,0,0,100,0
10691,240,0,0,0,0,0,100,0
10692,60,0,0,0,0,0,100,0
10695,80,0,0,0,0,0,100,0
10705,90,0,0,0,0,0,100,0
10706,1000,0,0,0,0,0,100,0
10711,110,0,0,0,0,0,100,0
10712,240,0,0,0,0,0,100,0
10715,40,0,0,0,0,0,100,0
10720,20,0,0,0,0,0,100,0
10721,40,0,0,0,0,0,100,0
10722,50,0,0,0,0,0,100,0
10723,100,0,0,0,0,0,100,0
10725,30,0,0,0,0,0,100,0
10728,80,0,0,0,0,0,100,0
10730,20,0,0,0,0,0,100,0
10731,260,0,0,0,0,0,100,0
10733,130,0,0,0,0,0,100,0
10735,20,0,0,0,0,0,100,0
10738,30,0,0,0,0,0,100,0
10739,60,0,0,0,0,0,100,0
10741,50,0,0,0,0,0,100,0
10744,80,0,0,0,0,0,100,0
10748,110,0,0,0,0,0,100,0
10754,40,0,0,0,0,0,100,0
10755,200,0,0,0,0,0,100,0
10757,200,0,0,0,0,0,100,0
10759,60,0,0,0,0,0,100,0
10761,360,0,0,0,0,0,100,0
10763,420,0,0,0,0,0,100,0
10765,20,0,0,0,0,0,100,0
10766,80,0,0,0,0,0,100,0
10768,240,0,0,0,0,0,100,0
10770,40,0,0,0,0,0,100,0
10771,60,0,0,0,0,0,100,0
10777,30,0,0,0,0,0,100,0
10779,320,0,0,0,0,0,100,0
10784,2400,0,0,0,0,0,100,0
10786,40,0,0,0,0,0,100,0
10787,80,0,0,0,0,0,100,0
10789,80,0,0,0,0,0,100,0
10790,80,0,0,0,0,0,100,0
10791,20,0,0,0,0,0,100,0
10792,20,0,0,0,0,0,100,0
10793,110,0,0,0,0,0,100,0
10794,60,0,0,0,0,0,100,0
10795,20,0,0,0,0,0,100,0
10796,20,0,0,0,0,0,100,0
10797,120,0,0,0,0,0,100,0
10798,100,0,0,0,0,0,100,0
10799,40,0,0,0,0,0,100,0
10802,240,0,0,0,0,0,100,0
10807,20,0,0,0,0,0,100,0
10808,130,0,0,0,0,0,100,0
10809,80,0,0,0,0,0,100,0
10810,90,0,0,0,0,0,100,0
10813,120,0,0,0,0,0,100,0
10815,180,0,0,0,0,0,100,0
10816,40,0,0,0,0,0,100,0
10821,620,0,0,0,0,0,100,0
10822,260,0,0,0,0,0,100,0
10823,80,0,0,0,0,0,100,0
10825,90,0,0,0,0,0,100,0
10829,60,0,0,0,0,0,100,0
10830,30,0,0,0,0,0,100,0
10832,120,0,0,0,0,0,100,0
10833,400,0,0,0,0,0,100,0
10835,20,0,0,0,0,0,100,0
10836,60,0,0,0,0,0,100,0
10838,40,0,0,0,0,0,100,0
10843,20,0,0,0,0,0,100,0
10845,40,0,0,0,0,0,100,0
10849,60,0,0,0,0,0,100,0
10851,20,0,0,0,0,0,100,0
10853,180,0,0,0,0,0,100,0
10861,120,0,0,0,0,0,100,0
10862,40,0,0,0,0,0,100,0
10868,390,0,0,0,0,0,100,0
10870,20,0,0,0,0,0,100,0
10871,20,0,0,0,0,0,100,0
10872,40,0,0,0,0,0,100,0
10879,60,0,0,0,0,0,100,0
10880,80,0,0,0,0,0,100,0
10883,90,0,0,0,0,0,100,0
10884,60,0,0,0,0,0,100,0
10886,20,0,0,0,0,0,100,0
10887,200,0,0,0,0,0,100,0
10889,60,0,0,0,0,0,100,0
10891,740,0,0,0,0,0,100,0
10892,20,0,0,0,0,0,100,0
10894,30,0,0,0,0,0,100,0
10896,40,0,0,0,0,0,100,0
10898,540,0,0,0,0,0,100,0
10899,40,0,0,0,0,0,100,0
10903,110,0,0,0,0,0,100,0
10904,90,0,0,0,0,0,100,0
10905,70,0,0,0,0,0,100,0
10906,60,0,0,0,0,0,100,0
10907,90,0,0,0,0,0,100,0
10908,90,0,0,0,0,0,100,0
10911,110,0,0,0,0,0,100,0
10912,60,0,0,0,0,0,100,0
10914,80,0,0,0,0,0,100,0
10915,20,0,0,0,0,0,100,0
10916,20,0,0,0,0,0,100,0
10919,60,0,0,0,0,0,100,0
10920,120,0,0,0,0,0,100,0
10921,100,0,0,0,0,0,100,0
10924,120,0,0,0,0,0,100,0
10928,40,0,0,0,0,0,100,0
10932,40,0,0,0,0,0,100,0
10938,60,0,0,0,0,0,100,0
10940,80,0,0,0,0,0,100,0
10941,20,0,0,0,0,0,100,0
10942,20,0,0,0,0,0,100,0
10944,40,0,0,0,0,0,100,0
10947,40,0,0,0,0,0,100,0
10948,110,0,0,0,0,0,100,0
10951,20,0,0,0,0,0,100,0
10952,20,0,0,0,0,0,100,0
10953,50,0,0,0,0,0,100,0
10960,120,0,0,0,0,0,100,0
10964,2060,0,0,0,0,0,100,0
10966,40,0,0,0,0,0,100,0
10967,20,0,0,0,0,0,100,0
10972,30,0,0,0,0,0,100,0
10974,360,0,0,0,0,0,100,0
10975,40,0,0,0,0,0,100,0
10976,80,0,0,0,0,0,100,0
10977,90,0,0,0,0,0,100,0
10980,240,0,0,0,0,0,100,0
10982,30,0,0,0,0,0,100,0
10983,50,0,0,0,0,0,100,0
10989,70,0,0,0,0,0,100,0
10992,70,0,0,0,0,0,100,0
10995,20,0,0,0,0,0,100,0
10996,2040,0,0,0,0,0,100,0
11000,40,0,0,0,0,0,100,0
11003,30,0,0,0,0,0,100,0
11008,90,0,0,0,0,0,100,0
11010,110,0,0,0,0,0,100,0
11011,160,0,0,0,0,0,100,0
11015,140,0,0,0,0,0,100,0
11016,20,0,0,0,0,0,100,0
11017,30,0,0,0,0,0,100,0
11018,60,0,0,0,0,0,100,0
11020,40,0,0,0,0,0,100,0
11022,120,0,0,0,0,0,100,0
11025,80,0,0,0,0,0,100,0
11026,80,0,0,0,0,0,100,0
11027,180,0,0,0,0,0,100,0
11028,40,0,0,0,0,0,100,0
11032,50,0,0,0,0,0,100,0
11034,60,0,0,0,0,0,100,0
11036,60,0,0,0,0,0,100,0
11037,30,0,0,0,0,0,100,0
11038,80,0,0,0,0,0,100,0
11039,40,0,0,0,0,0,100,0
11041,40,0,0,0,0,0,100,0
11049,80,0,0,0,0,0,100,0
11050,60,0,0,0,0,0,100,0
11053,90,0,0,0,0,0,100,0
11054,30,0,0,0,0,0,100,0
11055,40,0,0,0,0,0,100,0
11060,20,0,0,0,0,0,100,0
11062,60,0,0,0,0,0,100,0
11067,20,0,0,0,0,0,100,0
11069,60,0,0,0,0,0,100,0
11070,60,0,0,0,0,0,100,0
11071,60,0,0,0,0,0,100,0
11072,60,0,0,0,0,0,100,0
11073,80,0,0,0,0,0,100,0
11074,20,0,0,0,0,0,100,0
11075,90,0,0,0,0,0,100,0
11077,20,0,0,0,0,0,100,0
11078,70,0,0,0,0,0,100,0
11079,30,0,0,0,0,0,100,0
11087,90,0,0,0,0,0,100,0
11090,240,0,0,0,0,0,100,0
11095,90,0,0,0,0,0,100,0
11097,120,0,0,0,0,0,100,0
11099,80,0,0,0,0,0,100,0
11100,110,0,0,0,0,0,100,0
11101,100,0,0,0,0,0,100,0
11102,430,0,0,0,0,0,100,0
11103,120,0,0,0,0,0,100,0
11105,80,0,0,0,0,0,100,0
11106,60,0,0,0,0,0,100,0
11111,90,0,0,0,0,0,100,0
11112,180,0,0,0,0,0,100,0
11114,120,0,0,0,0,0,100,0
11115,90,0,0,0,0,0,100,0
11116,30,0,0,0,0,0,100,0
11119,90,0,0,0,0,0,100,0
11121,150,0,0,0,0,0,100,0
11122,80,0,0,0,0,0,100,0
11124,2160,0,0,0,0,0,100,0
11126,250,0,0,0,0,0,100,0
11130,60,0,0,0,0,0,100,0
11131,60,0,0,0,0,0,100,0
11137,50,0,0,0,0,0,100,0
11139,90,0,0,0,0,0,100,0
11143,80,0,0,0,0,0,100,0
11144,240,0,0,0,0,0,100,0
11146,60,0,0,0,0,0,100,0
11150,180,0,0,0,0,0,100,0
11151,30,0,0,0,0,0,100,0
11153,120,0,0,0,0,0,100,0
11154,120,0,0,0,0,0,100,0
11157,50,0,0,0,0,0,100,0
11158,20,0,0,0,0,0,100,0
11160,30,0,0,0,0,0,100,0
11161,60,0,0,0,0,0,100,0
11162,90,0,0,0,0,0,100,0
11163,30,0,0,0,0,0,100,0
11165,200,0,0,0,0,0,100,0
11166,20,0,0,0,0,0,100,0
11168,60,0,0,0,0,0,100,0
11169,40,0,0,0,0,0,100,0
11171,80,0,0,0,0,0,100,0
11179,20,0,0,0,0,0,100,0
11181,80,0,0,0,0,0,100,0
11182,80,0,0,0,0,0,100,0
11185,60,0,0,0,0,0,100,0
11187,60,0,0,0,0,0,100,0
11188,20,0,0,0,0,0,100,0
11190,110,0,0,0,0,0,100,0
11194,240,0,0,0,0,0,100,0
11195,60,0,0,0,0,0,100,0
11196,60,0,0,0,0,0,100,0
11198,400,0,0,0,0,0,100,0
11199,140,0,0,0,0,0,100,0
11200,100,0,0,0,0,0,100,0
11201,30,0,0,0,0,0,100,0
11202,160,0,0,0,0,0,100,0
11207,60,0,0,0,0,0,100,0
11208,40,0,0,0,0,0,100,0
11213,220,0,0,0,0,0,100,0
11214,90,0,0,0,0,0,100,0
11215,1140,0,0,0,0,0,100,0
11216,90,0,0,0,0,0,100,0
11228,110,0,0,0,0,0,100,0
11231,20,0,0,0,0,0,100,0
11234,80,0,0,0,0,0,100,0
11235,160,0,0,0,0,0,100,0
11237,4660,0,0,0,0,0,100,0
11240,60,0,0,0,0,0,100,0
11241,30,0,0,0,0,0,100,0
11243,70,0,0,0,0,0,100,0
11247,60,0,0,0,0,0,100,0
11249,60,0,0,0,0,0,100,0
11250,60,0,0,0,0,0,100,0
11251,50,0,0,0,0,0,100,0
11252,260,0,0,0,0,0,100,0
11253,40,0,0,0,0,0,100,0
11254,20,0,0,0,0,0,100,0
11259,20,0,0,0,0,0,100,0
11261,90,0,0,0,0,0,100,0
11262,90,0,0,0,0,0,100,0
11264,580,0,0,0,0,0,100,0
11266,60,0,0,0,0,0,100,0
11267,40,0,0,0,0,0,100,0
11269,150,0,0,0,0,0,100,0
11270,30,0,0,0,0,0,100,0
11272,60,0,0,0,0,0,100,0
11273,280,0,0,0,0,0,100,0
11278,540,0,0,0,0,0,100,0
11279,90,0,0,0,0,0,100,0
11280,80,0,0,0,0,0,100,0
11281,110,0,0,0,0,0,100,0
11284,20,0,0,0,0,0,100,0
11285,380,0,0,0,0,0,100,0
11287,40,0,0,0,0,0,100,0
11288,360,0,0,0,0,0,100,0
11290,80,0,0,0,0,0,100,0
11295,20,0,0,0,0,0,100,0
11296,30,0,0,0,0,0,100,0
11297,40,0,0,0,0,0,100,0
11302,90,0,0,0,0,0,100,0
11303,420,0,0,0,0,0,100,0
11306,140,0,0,0,0,0,100,0
11310,50,0,0,0,0,0,100,0
11311,60,0,0,0,0,0,100,0
11314,120,0,0,0,0,0,100,0
11315,90,0,0,0,0,0,100,0
11316,60,0,0,0,0,0,100,0
11320,30,0,0,0,0,0,100,0
11321,560,0,0,0,0,0,100,0
11325,20,0,0,0,0,0,100,0
11329,60,0,0,0,0,0,100,0
11333,60,0,0,0,0,0,100,0
11339,540,0,0,0,0,0,100,0
11342,30,0,0,0,0,0,100,0
11343,20,0,0,0,0,0,100,0
11346,200,0,0,0,0,0,100,0
11347,20,0,0,0,0,0,100,0
11352,40,0,0,0,0,0,100,0
11354,20,0,0,0,0,0,100,0
11355,20,0,0,0,0,0,100,0
11356,60,0,0,0,0,0,100,0
11357,30,0,0,0,0,0,100,0
11362,60,0,0,0,0,0,100,0
11363,80,0,0,0,0,0,100,0
11366,80,0,0,0,0,0,100,0
11370,40,0,0,0,0,0,100,0
11371,40,0,0,0,0,0,100,0
11373,180,0,0,0,0,0,100,0
11374,40,0,0,0,0,0,100,0
11375,60,0,0,0,0,0,100,0
11377,110,0,0,0,0,0,100,0
11378,180,0,0,0,0,0,100,0
11379,60,0,0,0,0,0,100,0
11380,90,0,0,0,0,0,100,0
11384,20,0,0,0,0,0,100,0
11385,230,0,0,0,0,0,100,0
11388,20,0,0,0,0,0,100,0
11390,200,0,0,0,0,0,100,0
11391,20,0,0,0,0,0,100,0
11392,60,0,0,0,0,0,100,0
11393,90,0,0,0,0,0,100,0
11394,110,0,0,0,0,0,100,0
11395,80,0,0,0,0,0,100,0
11400,40,0,0,0,0,0,100,0
11401,90,0,0,0,0,0,100,0
11402,60,0,0,0,0,0,100,0
11410,40,0,0,0,0,0,100,0
11411,140,0,0,0,0,0,100,0
11412,660,0,0,0,0,0,100,0
11413,180,0,0,0,0,0,100,0
11415,40,0,0,0,0,0,100,0
11416,50,0,0,0,0,0,100,0
11418,130,0,0,0,0,0,100,0
11421,30,0,0,0,0,0,100,0
11423,80,0,0,0,0,0,100,0
11424,20,0,0,0,0,0,100,0
11426,90,0,0,0,0,0,100,0
11428,60,0,0,0,0,0,100,0
11429,430,0,0,0,0,0,100,0
11434,80,0,0,0,0,0,100,0
11436,20,0,0,0,0,0,100,0
11439,140,0,0,0,0,0,100,0
11440,160,0,0,0,0,0,100,0
11441,20,0,0,0,0,0,100,0
11443,60,0,0,0,0,0,100,0
11444,90,0,0,0,0,0,100,0
11450,80,0,0,0,0,0,100,0
11456,60,0,0,0,0,0,100,0
11458,60,0,0,0,0,0,100,0
11459,110,0,0,0,0,0,100,0
11461,260,0,0,0,0,0,100,0
11465,40,0,0,0,0,0,100,0
11466,240,0,0,0,0,0,100,0
11467,60,0,0,0,0,0,100,0
11473,60,0,0,0,0,0,100,0
11475,80,0,0,0,0,0,100,0
11479,20,0,0,0,0,0,100,0
11483,20,0,0,0,0,0,100,0
11487,120,0,0,0,0,0,100,0
11489,240,0,0,0,0,0,100,0
11490,20,0,0,0,0,0,100,0
11491,240,0,0,0,0,0,100,0
11493,440,0,0,0,0,0,100,0
11496,60,0,0,0,0,0,100,0
11498,250,0,0,0,0,0,100,0
11500,440,0,0,0,0,0,100,0
11501,60,0,0,0,0,0,100,0
11504,120,0,0,0,0,0,100,0
11505,20,0,0,0,0,0,100,0
11508,100,0,0,0,0,0,100,0
11510,50,0,0,0,0,0,100,0
11514,20,0,0,0,0,0,100,0
11516,90,0,0,0,0,0,100,0
11519,80,0,0,0,0,0,100,0
11521,80,0,0,0,0,0,100,0
11522,80,0,0,0,0,0,100,0
11529,30,0,0,0,0,0,100,0
11530,20,0,0,0,0,0,100,0
11531,80,0,0,0,0,0,100,0
11532,260,0,0,0,0,0,100,0
11533,320,0,0,0,0,0,100,0
11537,220,0,0,0,0,0,100,0
11538,60,0,0,0,0,0,100,0
11539,80,0,0,0,0,0,100,0
11540,30,0,0,0,0,0,100,0
11544,160,0,0,0,0,0,100,0
11545,80,0,0,0,0,0,100,0
11547,40,0,0,0,0,0,100,0
11550,20,0,0,0,0,0,100,0
11552,100,0,0,0,0,0,100,0
11554,80,0,0,0,0,0,100,0
11556,60,0,0,0,0,0,100,0
11558,40,0,0,0,0,0,100,0
11560,80,0,0,0,0,0,100,0
11561,90,0,0,0,0,0,100,0
11562,80,0,0,0,0,0,100,0
11564,60,0,0,0,0,0,100,0
11566,40,0,0,0,0,0,100,0
11570,80,0,0,0,0,0,100,0
11574,90,0,0,0,0,0,100,0
11575,40,0,0,0,0,0,100,0
11576,50,0,0,0,0,0,100,0
11577,170,0,0,0,0,0,100,0
11578,120,0,0,0,0,0,100,0
11580,260,0,0,0,0,0,100,0
11582,90,0,0,0,0,0,100,0
11583,30,0,0,0,0,0,100,0
11585,120,0,0,0,0,0,100,0
11586,30,0,0,0,0,0,100,0
11587,120,0,0,0,0,0,100,0
11588,90,0,0,0,0,0,100,0
11589,60,0,0,0,0,0,100,0
11590,240,0,0,0,0,0,100,0
11591,100,0,0,0,0,0,100,0
11596,100,0,0,0,0,0,100,0
11597,100,0,0,0,0,0,100,0
11601,80,0,0,0,0,0,100,0
11602,360,0,0,0,0,0,100,0
